id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_usd,price_brl,host_tipo,desempenho_recente,min_preco,max_preco,score
688617928797701518,Departamento MarioBravo,322772496,Alejandro,Palermo,-34.5947793,-58.41481470000001,Entire home/apt,17854.0,3,29,2025-01-09,1.25,1,274,10,21.0,105.02,Individual,10.0,-6.298323113564848,144.8866854829028,-0.03346831272001134
821584468019314628,Alto Palermo Apartment,499983440,Book House,Palermo,-34.59032,-58.41574,Entire home/apt,25058.0,4,33,2025-01-12,1.41,1,204,15,29.48,147.4,Individual,15.0,-6.298323113564848,144.8866854829028,-0.03353079137603375
924661080268105177,"Perfect apto in Palermo Soho, Gym, Spa & pool",522763556,Horacio,Palermo,-34.5820204,-58.42402370000001,Entire home/apt,45233.0,3,48,2025-01-11,2.57,1,230,29,53.22,266.08,Individual,29.0,-6.298323113564848,144.8866854829028,-0.033686510084785015
1212480126810517750,Luminous modern apartment in Palermo Hollywood,11803120,Layla,Palermo,-34.58369494784119,-58.44213672544112,Entire home/apt,33754.0,2,21,2025-01-19,3.48,1,160,21,39.71,198.55,Individual,21.0,-6.298323113564848,144.8866854829028,-0.03386525639276569
1114771545364378232,Soho Chic,534186330,Trinidad,Palermo,-34.593,-58.42863,Entire home/apt,40958.0,2,26,2025-01-14,2.5,1,266,26,48.19,240.93,Individual,26.0,-6.298323113564848,144.8866854829028,-0.0339277350487881
597124086991931754,Palermo Soho-Bright Studio-2Balconies-24h security,452573282,Alejandro,Palermo,-34.583965,-58.427048,Entire home/apt,45306.0,2,64,2025-01-28,2.04,1,299,29,53.3,266.51,Individual,29.0,-6.298323113564848,144.8866854829028,-0.034070940647014714
899182107478834220,Departamento en la mejor zona de Buenos Aires,134075436,Nicolas,Palermo,-34.58861418714139,-58.41372075251039,Entire home/apt,35256.0,3,46,2025-01-06,2.25,1,165,22,41.48,207.39,Individual,22.0,-6.298323113564848,144.8866854829028,-0.034233350394032636
1152206189661818582,Nuevo piso central y tranquilo,519083668,Sabrina,Palermo,-34.57899579746718,-58.42348349177424,Entire home/apt,22338.0,2,13,2025-01-02,1.65,1,63,13,26.28,131.4,Individual,13.0,-6.298323113564848,144.8866854829028,-0.034428433262976066
1211768854239220264,Palermo Soho con terraza,117691998,Federico,Palermo,-34.591238880231366,-58.4309624539673,Entire home/apt,54013.0,2,35,2025-01-24,6.1,1,307,35,63.54,317.72,Individual,35.0,-6.298323113564848,144.8866854829028,-0.034453459484025395
805176989343526968,"Amplio, confortable y en el corazón de Palermo",4073586,Maria,Palermo,-34.578775469983846,-58.42989330925965,Entire home/apt,36758.0,2,69,2025-01-29,2.84,1,364,23,43.24,216.22,Individual,23.0,-6.298323113564848,144.8866854829028,-0.03455339057502091
1073932604288918447,Luminoso Dpto en Palermo,206528598,Luciana,Palermo,-34.592580847750334,-58.428938840861726,Entire home/apt,36758.0,3,23,2024-12-04,2.47,1,148,23,43.24,216.22,Individual,23.0,-6.298323113564848,144.8866854829028,-0.03455339057502091
1274194361155422700,Departamento en Palermo frente al Jardin Botanico,293249678,Gonzalo,Palermo,-34.58082,-58.42329,Entire home/apt,20931.0,2,12,2025-01-26,4.19,1,351,12,24.62,123.12,Individual,12.0,-6.298323113564848,144.8866854829028,-0.03458893128477494
960013927680094413,Estudio 6,464915828,Federico,Palermo,-34.58861,-58.41221,Entire home/apt,26255.0,2,76,2025-01-23,4.46,3,211,47,30.89,154.44,Profissional,15.666666666666666,-6.298323113564848,144.8866854829028,-0.03488142524328877
29558454,Espectacular mono ambiente en Palermo,222534869,Sebastian,Palermo,-34.58454,-58.41652,Entire home/apt,21004.0,2,26,2024-09-11,0.34,1,97,12,24.71,123.55,Individual,12.0,-6.298323113564848,144.8866854829028,-0.035021415667283354
1012470879878877312,Hermoso 60 metros en Las Cañitas,3345072,Rodrigo,Palermo,-34.57028,-58.4338,Entire home/apt,26781.0,6,22,2025-01-10,1.49,1,198,16,31.51,157.54,Individual,16.0,-6.298323113564848,144.8866854829028,-0.03514828470454723
1009649651321561440,cosy & best located apt in Palermo,7519018,Eva,Palermo,-34.5872141,-58.4213223,Entire home/apt,32557.0,2,23,2025-01-10,1.73,1,344,20,38.3,191.51,Individual,20.0,-6.298323113564848,144.8866854829028,-0.03522709992153236
848661205488237009,Great Deal in Palermo Chico!,8781339,Diego,Palermo,-34.5783976,-58.41214660000001,Entire home/apt,39761.0,4,52,2024-12-20,2.35,1,46,25,46.78,233.89,Individual,25.0,-6.298323113564848,144.8866854829028,-0.0352895785775548
963050853741284079,Amazing duplex in Palermo,8692655,Andrés,Palermo,-34.57848926568039,-58.434547642327885,Entire home/apt,44109.0,2,34,2025-01-01,2.14,1,35,28,51.89,259.46,Individual,28.0,-6.298323113564848,144.8866854829028,-0.03543278417578141
626552561788843952,"Palermo, excelente ubicación, cómodo mono ambiente",463886334,Maria Alejandra,Palermo,-34.57645,-58.42877,Entire home/apt,19681.0,2,122,2025-01-28,4.47,4,74,44,23.15,115.77,Profissional,11.0,-6.298323113564848,144.8866854829028,-0.03566245189186934
